command_index:1;gesture:"Horns"
command_index:2;gesture:"Index, middle and pinky straight"
command_index:3;gesture:"Thumb, index and middle straight"
command_index:4;gesture:"Thumb, index, middle and pinky straight"
command_index:5;gesture:"Middle and ring straight"
command_index:6;gesture:"Ring and pinky straight"
command_index:7;gesture:"Thumb and pinky straight"
command_index:8;gesture:"Index and ring straight"
command_index:9;gesture:"Middle straight"
command_index:10;gesture:"Pinky straight"
command_index:11;gesture:"Index, ring and pinky straight"
command_index:12;gesture:"Middle and pinky straight"
